location;source;target;id;fuzzy;context;translator_comments;developer_comments
;Maximum attempts reached. Please try again in an hour.;Maximale Anzahl der Versuche erreicht. Bitte versuchen Sie es in einer Stunde erneut.;;True;Client/en.lproj/AuthenticationManager.strings///Maximum attempts reached. Please try again in an hour.;Error message displayed when user enters incorrect passcode and has reached the maximum number of attempts.;
;Maximum attempts reached. Please try again later.;Maximale Anzahl der Versuche erreicht. Bitte versuchen Sie es sp√§ter erneut.;;True;Client/en.lproj/AuthenticationManager.strings///Maximum attempts reached. Please try again later.;Error message displayed when user enters incorrect passcode and has reached the maximum number of attempts.;
;New passcode must be different than existing code.;Der neue Code muss sich vom bestehenden unterscheiden.;;True;Client/en.lproj/AuthenticationManager.strings///New passcode must be different than existing code.;Error message displayed when user tries to enter the same passcode as their existing code when changing it.;
;Passcode For Logins;;;False;Client/en.lproj/AuthenticationManager.strings///Passcode For Logins;Label for the Passcode item in Settings;
;Passcodes didn‚Äôt match. Try again.;;;False;Client/en.lproj/AuthenticationManager.strings///Passcodes didn‚Äôt match. Try again.;Error message displayed to user when their confirming passcode doesn't match the first code.;
;Re-enter passcode;Code wiederholen;;True;Client/en.lproj/AuthenticationManager.strings///Re-enter passcode;Text displayed above the input field when confirming a passcode;
;Require Passcode;Code abfragen;;True;Client/en.lproj/AuthenticationManager.strings///Require Passcode;Text displayed in the 'Interval' section, followed by the current interval setting, e.g. 'Immediately';
;Set Passcode;Code festlegen;;True;Client/en.lproj/AuthenticationManager.strings///Set Passcode;Title of the dialog used to set a passcode;
;Touch ID & Passcode;Touch ID & Code;;True;Client/en.lproj/AuthenticationManager.strings///Touch ID & Passcode;Label for the Touch ID/Passcode item in Settings;
;Turn Passcode Off;Code deaktivieren;;True;Client/en.lproj/AuthenticationManager.strings///Turn Passcode Off;Label used as a setting item to turn off passcode;
;Turn Passcode On;Code aktivieren;;True;Client/en.lproj/AuthenticationManager.strings///Turn Passcode On;Label used as a setting item to turn on passcode;
;Turn off your passcode.;Ihren Code deaktivieren;;True;Client/en.lproj/AuthenticationManager.strings///Turn off your passcode.;Touch ID prompt subtitle when turning off passcode;
;Use your fingerprint to access Logins now.;Nutzen Sie jetzt Ihren Fingerabdruck, um auf Zugangsdaten zuzugreifen.;;True;Client/en.lproj/AuthenticationManager.strings///Use your fingerprint to access Logins now.;Touch ID prompt subtitle when accessing logins;
;Use your fingerprint to access Private Browsing now.;Nutzen Sie jetzt Ihren Fingerabdruck, um Ghost Modus zu nutzen.;;True;Client/en.lproj/AuthenticationManager.strings///Use your fingerprint to access Private Browsing now.;Touch ID prompt subtitle when accessing private browsing;
;Use your fingerprint to disable Touch ID.;;;False;Client/en.lproj/AuthenticationManager.strings///touchid.disable.reason.label;Touch ID prompt subtitle when disabling Touch ID;
;Use your fingerprint to access configuring your required passcode interval.;;;False;Client/en.lproj/AuthenticationManager.strings///touchid.require.passcode.reason.label;Touch ID prompt subtitle when accessing the require passcode setting;
;Delete;L√∂schen;;True;Client/en.lproj/BookmarkPanel.strings///Delete;Action button for deleting bookmarks in the bookmarks panel.;
;Are you sure you want to delete it and its contents?;Sollen der Ordner und seine Inhalte wirklich gel√∂scht werden?;;True;Client/en.lproj/BookmarkPanelDeleteConfirm.strings///Are you sure you want to delete it and its contents?;Main body of the confirmation alert when the user tries to delete a folder that still contains bookmarks and/or folders.;
;Cancel;Abbrechen;;True;Client/en.lproj/BookmarkPanelDeleteConfirm.strings///Cancel;Button label to cancel deletion when the user tried to delete a non-empty folder.;
;Delete;L√∂schen;;True;Client/en.lproj/BookmarkPanelDeleteConfirm.strings///Delete;Button label for the button that deletes a folder and all of its children.;
;This folder isn‚Äôt empty.;;;False;Client/en.lproj/BookmarkPanelDeleteConfirm.strings///This folder isn‚Äôt empty.;Title of the confirmation alert when the user tries to delete a folder that still contains bookmarks and/or folders.;
;Cancel;Abbrechen;;True;Client/en.lproj/ClearHistoryConfirm.strings///Cancel;The cancel button when confirming clear history.;
;Clear;L√∂schen;;True;Client/en.lproj/ClearHistoryConfirm.strings///Clear;The button that clears history even when Sync is connected.;
;History will be removed from all your connected devices. This cannot be undone.;Die Chronik wird von allen Ihren verbundenen Ger√§ten gel√∂scht. Dies kann nicht r√ºckg√§ngig gemacht werden.;;True;Client/en.lproj/ClearHistoryConfirm.strings///History will be removed from all your connected devices. This cannot be undone.;Description of the confirmation dialog shown when a user tries to clear history that's synced to another device.;
;OK;OK;;True;Client/en.lproj/ClearHistoryConfirm.strings///OK;The confirmation button that clears history even when Sync is connected.;
;Remove history from your Firefox Account?;Chronik aus Ihrem Firefox-Konto entfernen?;;True;Client/en.lproj/ClearHistoryConfirm.strings///Remove history from your Firefox Account?;Title of the confirmation dialog shown when a user tries to clear history that's synced to another device.;
;This action will clear all of your private data, including history from your synced devices.;Diese Aktion l√∂scht Ihre pers√∂nlichen Daten, einschlie√ülich Chronik von Ihren synchronisierten Ger√§ten.;;True;Client/en.lproj/ClearHistoryConfirm.strings///This action will clear all of your private data, including history from your synced devices.;Description of the confirmation dialog shown when a user tries to clear history that's synced to another device.;
;Browsing History;Verlauf;;True;Client/en.lproj/ClearPrivateData.strings///Browsing History;Settings item for clearing browsing history;
;Cache;Cache;;True;Client/en.lproj/ClearPrivateData.strings///Cache;Settings item for clearing the cache;
;Clear Private Data;Private Daten l√∂schen;;True;Client/en.lproj/ClearPrivateData.strings///Clear Private Data;Button in settings that clears private data for the selected items. Navigation title in settings.;
;Cookies;Cookies;;True;Client/en.lproj/ClearPrivateData.strings///Cookies;Settings item for clearing cookies;
;Offline Website Data;Offline-Website-Daten;;True;Client/en.lproj/ClearPrivateData.strings///Offline Website Data;Settings item for clearing website data;
;Saved Logins;Gespeicherte Zugangsdaten;;True;Client/en.lproj/ClearPrivateData.strings///Saved Logins;Settings item for clearing passwords and login data;
;Cancel;Abbrechen;;True;Client/en.lproj/ClearPrivateDataConfirm.strings///Cancel;The cancel button when confirming clear private data.;
;OK;OK;;True;Client/en.lproj/ClearPrivateDataConfirm.strings///OK;The button that clears private data.;
;This action will clear all of your private data. It cannot be undone.;Diese Aktion l√∂scht die ausgew√§hlten privaten Daten aus dem Browser. Dies kann nicht r√ºckg√§ngig gemacht werden.;;True;Client/en.lproj/ClearPrivateDataConfirm.strings///This action will clear all of your private data. It cannot be undone.;Description of the confirmation dialog shown when a user tries to clear their private data.;
;and select connect to scan the QR-Code;"und w‰hle \""Connect\"", um den QR-Code zu scannen.";;True;Client/en.lproj/Cliqz.strings/// and select connect to scan the QR-Code;[Connect] instructions text part#2;
;%1$d TRACKERS %2$d Blocked;%1$d TRACKERS %2$d blockiert;;False;Client/en.lproj/Cliqz.strings///%d TRACKERS %d Blocked;[ControlCenter -> Trackers] Detected and Blocked trackers count;
;%d Trackers Blocked;%d Trackers blockiert;;False;Client/en.lproj/Cliqz.strings///%d Trackers Blocked;[ControlCenter -> Overview] Blocked trackers count;
;%d Trackers found;%d Trackers found;;False;Client/en.lproj/Cliqz.strings///%d Trackers found;[ControlCenter -> Overview] Detected trackers count;
;1 hour;1 Stunde;;False;Client/en.lproj/Cliqz.strings///1 hour;[ControlCenter - Overview] Pause Ghostery for one hour title;
;24 hours;24 Stunden;;False;Client/en.lproj/Cliqz.strings///24 hours;[ControlCenter - Overview] Pause Ghostery for twentyfour hours title;
;30 minutes;30 Minuten;;False;Client/en.lproj/Cliqz.strings///30 minutes;[ControlCenter - Overview] Pause Ghostery for thirty minutes title;
;"A \""fair\"" mode that shows ads in clearly defined cases only will be added soon.";"Ein \""fairer\"" Modus, der Werbung nur in klar definierten F‰llen zul‰sst, wird bald hinzugef¸gt.";;False;"Client/en.lproj/Cliqz.strings///A \""fair\"" mode that shows ads in clearly defined cases only will be added soon.";[Settings -> Block Ads] Fair Mode footer;
;About;‹ber uns;;True;Client/en.lproj/Cliqz.strings///About;[Settings] About [Settings] About section header;
;About MyOffrz;‹ber MyOffrz;;True;Client/en.lproj/Cliqz.strings///About MyOffrz;[Settings] About MyOffrz;
;Activate push notification to use this feature. Go to settings to allow push notifications then retry.;Aktiviere Push-Benachrichtigungen, um diese Funktion zu nutzen. Gehe dazu in die Einstellungen und versuche es dann erneut.;;True;Client/en.lproj/Cliqz.strings///Activate push notification to use this feature. Go to settings to allow push notifications then retry.;[Subscriptions] Alert message for asking to enable push notificaiton from the system;
;Add Connection;Verbindung hinzuf¸gen;;True;Client/en.lproj/Cliqz.strings///Add Connection;[Settings -> Connect] Add Connection title;
;Allow Camera Access;Kamerazugriff erlauben;;True;Client/en.lproj/Cliqz.strings///Allow Camera Access;[Connect] Alert title for turning on Camera access when scanning QRCode;
;Automatic Forget Tab;Automatische Vergessen-Tabs;;True;Client/en.lproj/Cliqz.strings///Automatic Forget Tab;[Settings] Automatic Forget Tab;
;Back to safe site;Zur¸ck zu sicherer Webseite;;True;Client/en.lproj/Cliqz.strings///Back to safe site;Back to safe site buttun title in antiphishing alert title;
;Block Ads;Werbeblocker (BETA);;True;Client/en.lproj/Cliqz.strings///Block Ads;[Settings -> Block Ads] Block Ads [Settings] Block Ads;
;Block All;Alle blockieren;;False;Client/en.lproj/Cliqz.strings///Block All;[ControlCenter - Trackers list] Block All trackers action title;
;Block Explicit Content;Nicht-jugendfreie Inhalte blockieren;;True;Client/en.lproj/Cliqz.strings///Block Explicit Content;[Settings] Block explicit content;
;Browsing & History;Browsing & Verlauf;;True;Client/en.lproj/Cliqz.strings///Browsing & History;[Settings] Browsing & History section header;
;CLIQZ has blocked access to %1$ because it has been reported as a phishing website.Phishing websites disguise as other sites you may trust in order to trick you into disclosing your login, password or other sensitive information;Cliqz hat den Zugriff auf %1$ blockiert, weil diese Seite als Phishing-Website gemeldet wurde.\nPhishing-Websites geben vor, vertrauensw¸rdig zu sein, damit du deine Anmeldedaten, dein Passwort oder andere vertrauliche Informationen preisgibst.;;True;Client/en.lproj/Cliqz.strings///CLIQZ has blocked access to %1$ because it has been reported as a phishing website.Phishing websites disguise as other sites you may trust in order to trick you into disclosing your login, password or other sensitive information;Antiphishing alert message;
;Cancel;Abbrechen;;True;Client/en.lproj/Cliqz.strings///Cancel;[ControlCenter - Trackers list] Cancel action title Cancel;
;Categories;Kategorien;;False;Client/en.lproj/Cliqz.strings///Categories;[Trackers -> ControlCenter] Trackers Title;
;Cliqz Browser does not have access to your camera. To enable access, tap ‚ÄòSettings‚Äô and turn on camera.;Cliqz Browser kann nicht auf die Kamera zugreifen. Um Zugriff zu erlauben, tippe auf ‚ÄûEinstellungen‚Äú und aktiviere die Kamera.;;True;Client/en.lproj/Cliqz.strings///Cliqz Browser does not have access to your camera. To enable access, tap ‚ÄòSettings‚Äô and turn on camera.;[Connect] Alert message for turning on Camera access when Scanning QR Code;
;Cliqz Browser has to download some data packages first, before the ad-blocker works efficiently. For this, the app must be connected to Wi-Fi.;Cliqz Browser muss zuerst ein Update herunterladen, bevor der Werbeblocker effizient arbeiten kann. Hierf¸r muss das Smartphone per WiFi mit dem Internet verbunden sein.;;False;Client/en.lproj/Cliqz.strings///Cliqz Browser has to download some data packages first, before the ad-blocker works efficiently. For this, the app must be connected to Wi-Fi.;[Settings -> Block Ads] Block Ads footer;
;Cliqz Tab;CliqzTab;;True;Client/en.lproj/Cliqz.strings///Cliqz Tab;[Settings] Cliqz Tab section header;
;Cliqz works with anonymized data of search queries and website visits that have been generated by our community of users. The technology that collects this data to build the web index is called Human Web.; Cliqz verwendet anonyme Daten ¸ber Webseiten-Besuche und Suchanfragen der ganzen Community seiner Nutzer als Treibstoff f¸r die Cliqz Schnellsuche. Die Technologie zum Erstellen dieses Index heiﬂt Human Web.;;False;Client/en.lproj/Cliqz.strings///Cliqz works with anonymized data of search queries and website visits that have been generated by our community of users. The technology that collects this data to build the web index is called Human Web.;[Settings -> Human Web]Footer text for Fair Blocking section;
;Complementary Search;Erg‰nzende Suchmaschine;;True;Client/en.lproj/Cliqz.strings///Complementary Search;[Settings] Complementary Search;
;Connect;Connect;;True;Client/en.lproj/Cliqz.strings///Connect;[Settings] Connect [Settings] Connect section title;
;Connect Cliqz on your computer with Cliqz on your iOS device. This will allow you to send tabs from your desktop to your mobile device. You can also directly download videos from your desktop browser to your mobile device.;Verbinde Cliqz auf deinem Computer mit Cliqz auf deinem iPhone oder iPad. Dann kannst du Tabs von deinem Computer auf dein verbundenes Ger‰t schicken, oder YouTube Videos am Computer direkt auf dein verbundenes Ger‰t herunterladen.,;;False;Client/en.lproj/Cliqz.strings///Connect Cliqz on your computer with Cliqz on your iOS device. This will allow you to send tabs from your desktop to your mobile device. You can also directly download videos from your desktop browser to your mobile device.;[Settings] Connect section footer;
;Connecting ...;Verbinde Ö;;False;Client/en.lproj/Cliqz.strings///Connecting ...;[Settings -> Connect] Connecting status;
;Connecting to Desktop;Verbindung zu Desktop wird hergestellt;;True;Client/en.lproj/Cliqz.strings///Connecting to Desktop;[Settings -> Connect] pending connection title;
;Connection Failed;Verbindung fehlgeschlagen;;True;Client/en.lproj/Cliqz.strings///Connection Failed;[Connect] Connection Failed alert title;
;Connection successful;Verbindung erfolgreich;;True;Client/en.lproj/Cliqz.strings///Connection successful;[Connect] Connection successful alert title;
;Continue despite warning;Trotz der Warnung fortfahren;;True;Client/en.lproj/Cliqz.strings///Continue despite warning;Continue despite warning buttun title in antiphishing alert title;
;Could not download Video.;Video kann nicht geladen werden.;;False;Client/en.lproj/Cliqz.strings///Could not download Video.;[VidoeDownloader] Toast message shown when youtube video download faild;
;Could not subscribe to {1}.;{1} konnte nicht abonniert werden.;;True;Client/en.lproj/Cliqz.strings///Could not subscribe to {1}.;[Subscriptions] Alert title for asking to enable push notificaiton from the system [Subscriptions] Alert title when failing to subscribe to soccer notification;
;Currently, push notifications are only received if Cliqz is active.;Im Moment werden Push-Benachrichtigungen nur empfangen, wenn Cliqz aktiv ist.;;True;Client/en.lproj/Cliqz.strings///Currently, push notifications are only received if Cliqz is active.;[Subscriptions] Subscribing Toast;
;Done;Fertig;;True;Client/en.lproj/Cliqz.strings///Done;Done button in the tabTray Toolbar;
;Download videos on Wi-Fi Only;Videos nur ¸ber WLAN herunterladen;;True;Client/en.lproj/Cliqz.strings///Download videos on Wi-Fi Only;[Settings -> Limit Mobile Data Usage] toogle footer;
;Download youtube video;Video offline ansehen;;True;Client/en.lproj/Cliqz.strings///Download youtube video;Context menu item for opening a link in a new tab;
;EULA;Endnutzer-Lizenzvertrag (EULA);;True;Client/en.lproj/Cliqz.strings///EULA;[Settings -> About] EULA;
;Empty TopSites hint;Hier werden deine meistbesuchten Seiten erscheinen;;True;Client/en.lproj/Cliqz.strings///Empty TopSites hint;Hint on Freshtab when there is no topsites;
;Enhanced Ad Blocking;Besserer Werbeblocker;;False;Client/en.lproj/Cliqz.strings///Enhanced Ad Blocking;[ControlCenter -> Overview] Ad blocking switch title;
;FAQ & Support;FAQ & Support;;True;Client/en.lproj/Cliqz.strings///FAQ & Support;[Settings] FAQ & Support;
;Fair Mode;Fairer Modus;;True;Client/en.lproj/Cliqz.strings///Fair Mode;[Settings -> Block Ads] Fair Mode;
;Forget;Vergessen Tabs;;False;Client/en.lproj/Cliqz.strings///Forget;Forget toogle button in tab overview;
;Get the best out of CLIQZ;Hol dir das Beste aus Cliqz;;True;Client/en.lproj/Cliqz.strings///Get the best out of CLIQZ;[Settings] Get the best out of CLIQZ;
;Ghostery Tab;Ghostery Tab;;False;Client/en.lproj/Cliqz.strings///Ghostery Tab;[Settings] Ghostery Tab section header;
;Global Trackers;Globale Tracker;;False;Client/en.lproj/Cliqz.strings///Global Trackers;[ControlCenter] Global Trackers panel title;
;Go to;Gehe zu;;True;Client/en.lproj/Cliqz.strings///Go to ;[Connect] instructions text part#1;
;Help;Hilfe;;True;Client/en.lproj/Cliqz.strings///Help;[Settings] Help section header;
;Human Web;Human Web;;True;Client/en.lproj/Cliqz.strings///Human Web;[Settings] Human Web;
;LEARN MORE;Mehr erfahren;;False;Client/en.lproj/Cliqz.strings///LEARN MORE;[MyOffrz] Learn more button title;
;Less;Weniger  ;;False;Client/en.lproj/Cliqz.strings///Less;Text for less button;
;LessNews;Weniger anzeigen;;True;Client/en.lproj/Cliqz.strings///LessNews;Title to expand news stream;
;Licenses;Lizenzen;;True;Client/en.lproj/Cliqz.strings///Licenses;[Settings -> About] Licenses;
;Limit Mobile Data Usage;Mobile Daten begrenzen;;True;Client/en.lproj/Cliqz.strings///Limit Mobile Data Usage;[Settings] Limit Mobile Data Usage;
;More;Mehr ;;False;Client/en.lproj/Cliqz.strings///More;Text for more button;
;MoreNews;Mehr anzeigen;;True;Client/en.lproj/Cliqz.strings///MoreNews;Title to expand news stream;
;MyOffrz Code copied;Code kopiert;;True;Client/en.lproj/Cliqz.strings///MyOffrz Code copied;[MyOffrz] copy promocode done;
;MyOffrz Conditions;Konditionen;;True;Client/en.lproj/Cliqz.strings///MyOffrz Conditions;[MyOffrz] Conditions title;
;MyOffrz Copy promocode;Tippe um den Code zu kopieren;;True;Client/en.lproj/Cliqz.strings///MyOffrz Copy promocode;[MyOffrz] copy promocode action hint;
;MyOffrz Empty Description;Hier findest du jede Woche ein neues Angebot;;True;Client/en.lproj/Cliqz.strings///MyOffrz Empty Description;[MyOffrz] No offers label;
;MyOffrz Onboarding;Sichere dir attraktive Rabatte und Schn‰ppchen mit MyOffrz.;;True;Client/en.lproj/Cliqz.strings///MyOffrz Onboarding;[MyOffrz] MyOffrz description;
;NEWS;NEWS  ;;False;Client/en.lproj/Cliqz.strings///NEWS;Title to expand news stream;
;No Wi-Fi Connection message;"Du bist nicht mit dem WLAN verbunden. Video-Downloads sind bei mobiler Datennutzung derzeit eingeschr‰nkt. \nGehe zu \""Einstellungen\"" > \""Download-Optionen\"", um dies zu ‰ndern.\n";;True;Client/en.lproj/Cliqz.strings///No Wi-Fi Connection message;[VidoeDownloader] No Wi-Fi connection alert message;
;Not Now;Nicht Jetzt;;True;Client/en.lproj/Cliqz.strings///Not Now;Not now option for turning on Camera access Not now option for turning on location service;
;Off;Aus;;True;Client/en.lproj/Cliqz.strings///Off;[Settings] Off status;
;Offline;Offline ;;False;Client/en.lproj/Cliqz.strings///Offline;[Settings -> Connect] Offline status;
;Ok;Ok;;False;Client/en.lproj/Cliqz.strings///Ok;Ok;
;On;Ein;;True;Client/en.lproj/Cliqz.strings///On;[Settings] On status;
;On all sites;Auf allen Seiten;;False;Client/en.lproj/Cliqz.strings///On all sites;[ControlCenter -> Global Trackers] category status fo all sites;
;On this site;Auf dieser Seite;;False;Client/en.lproj/Cliqz.strings///On this site;[ControlCenter -> Trackers] category status for the current site;
;Online;Online;;False;Client/en.lproj/Cliqz.strings///Online;[Settings -> Connect] Online status;
;Open the Photos;Fotos ˆffnen;;False;Client/en.lproj/Cliqz.strings///Open the Photos;[VidoeDownloader] Toast button text shown when youtube video is Successfully downloaded;
;Overview;‹bersicht;;True;Client/en.lproj/Cliqz.strings///Overview;[ControlCenter] Overview panel title;
;Pause Ghostery;Ghostery pausieren;;False;Client/en.lproj/Cliqz.strings///Pause Ghostery;[ControlCenter -> Overview] Pause Ghostery button title;
;Please select video quality;Bitte w‰hle die gew¸nschte Videoqualit‰t aus;;True;Client/en.lproj/Cliqz.strings///Please select video quality;[VidoeDownloader] Youtube downloader action sheet message;
;Privacy;Privatsph‰re;;False;Client/en.lproj/Cliqz.strings///Privacy;[Settings] Privacy section header;
;Privacy Policy;Datenschutzerkl‰rung;;True;Client/en.lproj/Cliqz.strings///Privacy Policy;[Settings -> About] Privacy Policy;
;Prompt description;Gib einen neuen Namen f¸r die Verbindung ein:;;True;Client/en.lproj/Cliqz.strings///Prompt description;[Settings -> Connect] rename connection alert message;
;Rate Us;Bewerte uns;;True;Client/en.lproj/Cliqz.strings///Rate Us;[Settings] Rate Us;
;Remove Connection;Verbindung entfernen;;True;Client/en.lproj/Cliqz.strings///Remove Connection;[Settings -> Connect] remove connection;
;Rename Connection;Verbindung umbenennen;;True;Client/en.lproj/Cliqz.strings///Rename Connection;[Settings -> Connect] rename connection;
;Report Website;Webseite melden;;True;Client/en.lproj/Cliqz.strings///Report Website;[Settings] Report Website;
;Restrict All;Alle blockieren;;False;Client/en.lproj/Cliqz.strings///Restrict All;[ControlCenter - Trackers list] Restrict All trackers action title;
;Restrict Site;Seite einschr‰nken;;False;Client/en.lproj/Cliqz.strings///Restrict Site;[ControlCenter -> Overview] Restrict button title;
;Resume;Fortsetzen;;False;Client/en.lproj/Cliqz.strings///Resume;[ControlCenter -> Overview] Resume Ghostery button title;
;Retrieving video information;Lade Videoinformationen;;True;Client/en.lproj/Cliqz.strings///Retrieving video information;[VidoeDownloader] HUD message displayed while youtube downloader grabing the download URLs of the video;
;Retry;Erneut versuchen;;True;Client/en.lproj/Cliqz.strings///Retry;[Connect] Retry button for Connection Failed alert [Subscriptions] Retry alert button;
;Scan QR-Code;QR-Code scannen;;True;Client/en.lproj/Cliqz.strings///Scan QR-Code;[Settings -> Connect] Scan QR-Code;
;Search;Suche;;True;Client/en.lproj/Cliqz.strings///Search;[Settings] Search section title;
;Search Query Suggestions;Suchwort-Vorschl‰ge;;True;Client/en.lproj/Cliqz.strings///Search Query Suggestions;[Settings] Search Query Suggestions;
;Search Results for;Suchergebnisse f¸r;;True;Client/en.lproj/Cliqz.strings///Search Results for;[Settings] Search Results for;
;Send Crash Reports;Fehlerberichte senden;;True;Client/en.lproj/Cliqz.strings///Send Crash Reports;[Settings] Send Crash Reports;
;Settings;Einstellungen;;True;Client/en.lproj/Cliqz.strings///Settings;[Subscriptions] Subscribe alert button Settings option for turning on Camera access Settings option for turning on location service Sharing activity for opening Settings;
;Show News;News anzeigen;;True;Client/en.lproj/Cliqz.strings///Show News;[Settings] Show News;
;Show most visited websites;Meistbesuchte Seiten anzeigen;;True;Client/en.lproj/Cliqz.strings///Show most visited websites;[Settings] Show most visited websites;
;Sorry but devices could not be connected. Please try again.;Leider konnte keine Verbindung hergestellt werden. Bitte versuche es erneut.;;True;Client/en.lproj/Cliqz.strings///Sorry but devices could not be connected. Please try again.;[Connect] Connection Failed alert message;
;Sorry, we encountered some technical difficulties. Please try again;Entschuldigung, leider gab es technische Probleme beim Abonnieren. Versuche es noch einmal.;;True;Client/en.lproj/Cliqz.strings///Sorry, we encountered some technical difficulties. Please try again;[Subscriptions] Alert message when failing to subscribe to soccer notification;
;Subscribe;Abonnieren;;True;Client/en.lproj/Cliqz.strings///Subscribe;[Subscriptions] Subscribe alert button;
;Subscribing to {1}.;{1} wird abonniert...;;True;Client/en.lproj/Cliqz.strings///Subscribing to {1}.;[Subscriptions] Subscribing HUD;
;The download is complete.;Download abgeschlossen;;False;Client/en.lproj/Cliqz.strings///The download is complete.;[VidoeDownloader] Toast message shown when youtube video is Successfully downloaded;
;To share your location, go to the settings for the CLIQZ app:\n1.Tap Location\n2.Enable 'While Using';Um deinen Standort zu teilen, gehe in die Einstellungen f¸r die Cliqz-App:\n\n1. W‰hle Standort\n2. Aktiviere 'Beim Verwenden der App';;True;Client/en.lproj/Cliqz.strings///To share your location, go to the settings for the CLIQZ app:\n1.Tap Location\n2.Enable 'While Using';Alert message for turning on location service when clicking share location on local card;
;To share your location, go to the settings of your smartphone:\n1.Turn on Location Services\n2.Select the CLIQZ App\n3.Enable 'While Using';Um deinen Standort zu teilen, gehe in die Einstellungen deines Smartphones:\n\n1. Aktiviere Ortungsdienste\n2. W‰hle die Cliqz-App\n3. Aktiviere 'Beim Verwenden der App';;True;Client/en.lproj/Cliqz.strings///To share your location, go to the settings of your smartphone:\n1.Turn on Location Services\n2.Select the CLIQZ App\n3.Enable 'While Using';Alert message for turning on location service when clicking share location on local card;
;Trackers;Tracker;;False;Client/en.lproj/Cliqz.strings///Trackers;[ControlCenter] Trackers panel title;
